rank,name,score,num,dir,act,type,year,city,qu
83,幽灵公主,8.8,251353人评价,宫崎骏,"主演:,松田洋治,Yôji,Matsuda,/,石田百合...",冒险,1997,日本,人与自然的战争史诗。
84,第六感,8.8,249794人评价,M·奈特·沙马兰,"Shyamalan,主演:,布鲁斯·威利斯,Bruce,Wi...",惊悚,1999,美国,深入内心的恐怖，出人意料的结局。
85,末代皇帝,8.9,184847人评价,贝纳尔多·贝托鲁奇,"主演:,尊龙,John,Lone,/,陈...",历史,1987,意大利,“不要跟我比惨，我比你更惨”再适合这部电影不过了。
86,重庆森林,8.7,353982人评价,王家卫,"Wong,主演:,林青霞,Brigitte,Lin,/,金城武,Takeshi,K...",爱情,1994,香港,寂寞没有期限。
87,禁闭岛,8.7,384578人评价,Martin,"莱昂纳多·迪卡普里奥,Leonardo,DiCaprio,/,...",惊悚,2010,美国,昔日翩翩少年，今日大腹便便。
88,大鱼,8.7,268645人评价,蒂姆·波顿,"主演:,伊万·麦克格雷格,Ewan,McGregor,/,阿...",冒险,2003,美国,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。
89,布达佩斯大饭店,8.8,338176人评价,韦斯·安德森,"主演:,拉尔夫·费因斯,Ralph,Fiennes,/,...",喜剧,2014,美国,小清新的故事里注入了大历史的情怀。
90,狩猎,9,140171人评价,托马斯·温特伯格,"主演:,麦斯·米科尔森,Mads,Mik...",剧情,2012,丹麦,人言可畏。
91,哈利·波特与魔法石,8.7,279502人评价,Chris,"Daniel,Radcliffe,/,Emma,Watson,/,Rupert,Grint",冒险,2001,美国,童话世界的开端。
92,射雕英雄传之东成西就,8.7,293191人评价,刘镇伟,"主演:,梁朝伟,Tony,Leung,Chiu,Wai,/,林青霞,Bri...",古装,1993,香港,百看不厌。 
93,致命ID,8.6,339901人评价,James,"John,Cusack,/,Ray,Liotta,/,Amanda,Peet",惊悚,2003,美国,最不可能的那个人永远是最可能的。
94,甜蜜蜜,8.8,245620人评价,陈可辛,"主演:,黎明,Leon,Lai,/,张曼玉,Maggie,Cheung,/,...",爱情,1996,香港,相逢只要一瞬间，等待却像是一辈子。
95,一一,8.9,165144人评价,杨德昌,"主演:,吴念真,/,李凯莉,Kelly,Lee,/,金燕玲,Elai...",家庭,2000,台湾,我们都曾经是一一。
96,断背山,8.6,340381人评价,李安,"主演:,希斯·莱杰,Heath,Ledger,/,杰克·吉伦哈尔,Jake...",家庭,2005,美国,每个人心中都有一座断背山。
97,阳光姐妹淘,8.8,286064人评价,姜炯哲,"主演:,沈恩京,Eun-kyung,Shim,/,闵孝琳,Hy...",喜剧,2011,韩国,再多各自牛逼的时光，也比不上一起傻逼的岁月。 
98,告白,8.7,363502人评价,中岛哲也,"主演:,松隆子,Takako,Matsu,/,冈田将生,...",惊悚,2010,日本,没有一人完全善，也没有一人完全恶。
99,猫鼠游戏,8.7,245777人评价,史蒂文·斯皮尔伯格,"主演:,莱昂纳多·迪卡普里奥,L...",剧情,2002,美国,骗子大师和执著警探的你追我跑故事。 
100,上帝之城,8.9,165422人评价,Kátia,"Fernando,Meirelles,主演:,Alexandre,Rodrigues,/,Lea...",剧情,2002,巴西,被上帝抛弃了的上帝之城。
101,加勒比海盗,8.6,368115人评价,戈尔·维宾斯基,"主演:,约翰尼·德普,Johnny,Depp,/,...",奇幻,2003,美国,约翰尼·德普的独角戏。
